類別,學校代碼,學校名稱,核定經費(單位：元)
一般大學,1019,高雄醫學大學,"100,520,000"
一般大學,1020,南華大學,"60,120,000"
一般大學,1021,真理大學,"21,540,000"
一般大學,1022,大同大學,"39,200,000"
一般大學,1027,慈濟大學,"53,750,000"
一般大學,1028,臺北醫學大學,"267,400,000"
一般大學,1029,中山醫學大學,"58,740,000"
一般大學,1033,長榮大學,"53,970,000"
一般大學,1035,中國醫藥大學,"202,260,000"
一般大學,1039,玄奘大學,"39,170,000"
一般大學,1048,亞洲大學,"63,700,000"
一般大學,1049,開南大學,"18,710,000"
一般大學,1050,佛光大學,"48,420,000"
一般大學,1058,明道大學,"16,680,000"
一般大學,1067,台灣首府大學,"11,140,000"
一般大學,1079,康寧大學,"15,830,000"
一般大學,1125,中信金融管理學院,"8,890,000"
一般大學,1176,稻江科技暨管理學院,"2,020,000"
一般大學,1195,馬偕醫學院,"43,060,000"
一般大學,1196,法鼓文理學院,"3,810,000"
一般大學,1R04,一貫道天皇學院,"5,170,000"
一般大學,3002,臺北市立大學,"44,400,000"
技專校院,22,國立臺灣科技大學,"316,000,000"
技專校院,23,國立雲林科技大學,"218,986,964"
技專校院,24,國立屏東科技大學,"159,725,000"
技專校院,25,國立臺北科技大學,"278,870,000"
技專校院,26,國立高雄第一科技大學,"201,230,000"
技專校院,27,國立高雄應用科技大學,"143,890,341"
技專校院,33,國立虎尾科技大學,"226,843,158"
技專校院,34,國立高雄海洋科技大學,"54,220,100"
技專校院,42,國立澎湖科技大學,"27,156,777"
技專校院,43,國立勤益科技大學,"150,358,497"
技專校院,46,國立臺北護理健康大學,"66,300,000"
技專校院,47,國立高雄餐旅大學,"93,522,000"
技專校院,50,國立臺中科技大學,"22,895,454"
技專校院,51,國立臺北商業大學,"69,080,000"
技專校院,144,國立臺灣戲曲學院,"3,992,500"
技專校院,221,國立臺南護理專科學校,"23,950,000"
技專校院,222,國立臺東專科學校,"31,688,440"
技專校院,1018,朝陽科技大學,"53,785,991"
技專校院,1023,南臺科技大學,"172,764,000"
技專校院,1024,崑山科技大學,"162,469,729"
技專校院,1025,嘉南藥理大學,"79,614,000"
技專校院,1026,樹德科技大學,"75,616,211"
技專校院,1030,龍華科技大學,"104,143,100"
技專校院,1031,輔英科技大學,"36,320,576"
技專校院,1032,明新科技大學,"49,205,000"
技專校院,1034,弘光科技大學,"112,629,186"
技專校院,1036,健行科技大學,"43,332,011"
技專校院,1037,正修科技大學,"168,112,000"
技專校院,1038,萬能科技大學,"20,648,375"
技專校院,1040,建國科技大學,"25,375,000"
技專校院,1041,明志科技大學,"82,125,937"
技專校院,1042,高苑科技大學,"27,733,392"
技專校院,1043,大仁科技大學,"23,870,000"
技專校院,1044,聖約翰科技大學,"17,166,859"
技專校院,1045,嶺東科技大學,"43,635,386"
技專校院,1046,中國科技大學,"72,600,000"
技專校院,1047,中臺科技大學,"40,670,260"
技專校院,1051,台南應用科技大學,"32,800,000"
技專校院,1052,遠東科技大學,"72,142,651"
技專校院,1053,元培醫事科技大學,"41,333,141"
技專校院,1054,景文科技大學,"40,343,804"
技專校院,1055,中華醫事科技大學,"32,281,141"
技專校院,1056,東南科技大學,"20,490,000"
技專校院,1057,德明財經科技大學,"41,390,000"
技專校院,1060,南開科技大學,"32,065,303"
技專校院,1061,中華科技大學,"27,158,934"
技專校院,1062,僑光科技大學,"26,340,200"
技專校院,1063,育達科技大學,"10,098,530"
技專校院,1064,美和科技大學,"34,478,000"
技專校院,1065,吳鳳科技大學,"20,487,000"
技專校院,1066,環球科技大學,"16,450,000"
技專校院,1068,中州科技大學,"9,916,400"
技專校院,1069,修平科技大學,"39,572,504"
技專校院,1070,長庚科技大學,"59,300,000"
技專校院,1071,臺北城市科技大學,"28,900,000"
技專校院,1072,大華科技大學,"7,248,000"
技專校院,1073,醒吾科技大學,"65,770,461"
技專校院,1074,南榮科技大學,"5,660,000"
技專校院,1075,文藻外語大學,"58,593,000"
技專校院,1076,華夏科技大學,"19,262,968"
技專校院,1077,慈濟科技大學,"45,433,718"
技專校院,1078,致理科技大學,"65,712,000"
技專校院,1148,大漢技術學院,"2,777,000"
技專校院,1159,和春技術學院,"4,000,000"
技專校院,1166,亞東技術學院,"18,182,000"
技專校院,1168,南亞技術學院,"10,190,000"
技專校院,1179,宏國德霖科技大學,"17,126,081"
技專校院,1182,蘭陽技術學院,"3,058,069"
技專校院,1183,黎明技術學院,"15,095,090"
技專校院,1184,東方設計大學,"10,900,000"
技專校院,1185,經國管理暨健康學院,"13,075,000"
技專校院,1187,崇右影藝科技大學,"8,425,000"
技專校院,1188,大同技術學院,"7,000,000"
技專校院,1189,亞太創意技術學院,"1,606,772"
技專校院,1192,臺灣觀光學院, -   
技專校院,1197,台北海洋科技大學,"31,881,095"
技專校院,1282,馬偕醫護管理專科學校,"16,100,000"
技專校院,1283,仁德醫護管理專科學校,"19,905,011"
技專校院,1284,樹人醫護管理專科學校,"20,150,000"
技專校院,1285,慈惠醫護管理專科學校,"15,350,000"
技專校院,1286,耕莘健康管理專科學校,"23,336,340"
技專校院,1287,敏惠醫護管理專科學校,"7,737,596"
技專校院,1288,高美醫護管理專科學校, -   
技專校院,1289,育英醫護管理專科學校,"10,690,000"
技專校院,1290,崇仁醫護管理專科學校,"11,320,000"
技專校院,1291,聖母醫護管理專科學校,"8,197,342"
技專校院,1292,新生醫護管理專科學校,"20,088,500"
